date,discharge_cfs
2019-01-01,2170.0
2019-01-02,2120.0
2019-01-03,2050.0
2019-01-04,1980.0
2019-01-05,1900.0
2019-01-06,1810.0
2019-01-07,1730.0
2019-01-08,1650.0
2019-01-09,1590.0
2019-01-10,1530.0
2019-01-11,1470.0
2019-01-12,1420.0
2019-01-13,1370.0
2019-01-14,1320.0
2019-01-15,1260.0
2019-01-16,1200.0
2019-01-17,1150.0
2019-01-18,1110.0
2019-01-19,1070.0
2019-01-20,999.0
2019-01-21,1030.0
2019-01-22,1000.0
2019-01-23,985.0
2019-01-24,970.0
2019-01-25,955.0
2019-01-26,941.0
2019-01-27,927.0
2019-01-28,917.0
2019-01-29,906.0
2019-01-30,895.0
2019-01-31,884.0
2019-02-01,874.0
2019-02-02,865.0
2019-02-03,854.0
2019-02-04,843.0
2019-02-05,832.0
2019-02-06,821.0
2019-02-07,811.0
2019-02-08,798.0
2019-02-09,786.0
2019-02-10,776.0
2019-02-11,762.0
2019-02-12,748.0
2019-02-13,736.0
2019-02-14,725.0
2019-02-15,713.0
2019-02-16,700.0
2019-02-17,687.0
2019-02-18,674.0
2019-02-19,660.0
2019-02-20,649.0
2019-02-21,639.0
2019-02-22,629.0
2019-02-23,619.0
2019-02-24,610.0
2019-02-25,601.0
2019-02-26,590.0
2019-02-27,579.0
2019-02-28,570.0
2019-03-01,560.0
2019-03-02,552.0
2019-03-03,543.0
2019-03-04,534.0
2019-03-05,524.0
2019-03-06,515.0
2019-03-07,507.0
2019-03-08,501.0
2019-03-09,493.0
2019-03-10,484.0
2019-03-11,475.0
2019-03-12,468.0
2019-03-13,462.0
2019-03-14,457.0
2019-03-15,456.0
2019-03-16,477.0
2019-03-17,509.0
2019-03-18,527.0
2019-03-19,530.0
2019-03-20,530.0
2019-03-21,558.0
2019-03-22,666.0
2019-03-23,750.0
2019-03-24,756.0
2019-03-25,747.0
2019-03-26,739.0
2019-03-27,730.0
2019-03-28,721.0
2019-03-29,714.0
2019-03-30,706.0
2019-03-31,709.0
2019-04-01,776.0
2019-04-02,915.0
2019-04-03,1090.0
2019-04-04,1270.0
2019-04-05,1410.0
2019-04-06,1510.0
2019-04-07,1600.0
2019-04-08,1700.0
2019-04-09,1800.0
2019-04-10,1850.0
2019-04-11,1870.0
2019-04-12,1910.0
2019-04-13,2100.0
2019-04-14,2630.0
2019-04-15,3300.0
2019-04-16,4020.0
2019-04-17,4460.0
2019-04-18,4850.0
2019-04-19,5480.0
2019-04-20,7480.0
2019-04-21,10100.0
2019-04-22,12200.0
2019-04-23,13600.0
2019-04-24,12800.0
2019-04-25,11800.0
2019-04-26,11200.0
2019-04-27,12200.0
2019-04-28,14300.0
2019-04-29,13700.0
2019-04-30,12500.0
2019-05-01,11400.0
2019-05-02,10600.0
2019-05-03,9880.0
2019-05-04,9360.0
2019-05-05,8980.0
2019-05-06,8630.0
2019-05-07,8270.0
2019-05-08,7790.0
2019-05-09,7270.0
2019-05-10,6920.0
2019-05-11,6870.0
2019-05-12,6450.0
2019-05-13,6070.0
2019-05-14,5670.0
2019-05-15,5320.0
2019-05-16,5020.0
2019-05-17,4700.0
2019-05-18,4550.0
2019-05-19,4320.0
2019-05-20,4230.0
2019-05-21,4310.0
2019-05-22,4170.0
2019-05-23,4050.0
2019-05-24,3940.0
2019-05-25,3790.0
2019-05-26,3670.0
2019-05-27,3530.0
2019-05-28,3390.0
2019-05-29,3230.0
2019-05-30,3090.0
2019-05-31,3000.0
2019-06-01,2840.0
2019-06-02,2750.0
2019-06-03,2720.0
2019-06-04,2580.0
2019-06-05,2450.0
2019-06-06,2310.0
2019-06-07,2170.0
2019-06-08,2030.0
2019-06-09,1920.0
2019-06-10,1820.0
2019-06-11,1760.0
2019-06-12,1740.0
2019-06-13,1660.0
2019-06-14,1630.0
2019-06-15,1640.0
2019-06-16,1580.0
2019-06-17,1490.0
2019-06-18,1410.0
2019-06-19,1320.0
2019-06-20,1280.0
2019-06-21,1420.0
2019-06-22,1390.0
2019-06-23,1360.0
2019-06-24,1330.0
2019-06-25,1290.0
2019-06-26,1240.0
2019-06-27,1190.0
2019-06-28,1180.0
2019-06-29,1190.0
2019-06-30,1180.0
2019-07-01,1190.0
2019-07-02,1420.0
2019-07-03,1450.0
2019-07-04,1410.0
2019-07-05,1370.0
2019-07-06,1340.0
2019-07-07,1280.0
2019-07-08,1200.0
2019-07-09,1120.0
2019-07-10,1050.0
2019-07-11,994.0
2019-07-12,943.0
2019-07-13,874.0
2019-07-14,822.0
2019-07-15,756.0
2019-07-16,728.0
2019-07-17,717.0
2019-07-18,678.0
2019-07-19,649.0
2019-07-20,613.0
2019-07-21,580.0
2019-07-22,547.0
2019-07-23,518.0
2019-07-24,482.0
2019-07-25,453.0
2019-07-26,429.0
2019-07-27,409.0
2019-07-28,413.0
2019-07-29,422.0
2019-07-30,404.0
2019-07-31,556.0
2019-08-01,466.0
2019-08-02,394.0
2019-08-03,370.0
2019-08-04,356.0
2019-08-05,324.0
